pi_pairs1,pi_pairs2,h_pairs1,h_pairs2,nh4_pairs,other_pairs
"s_0434[c],s_0394[c]","s_0539[c],s_0467[c]","s_1207[c],s_1212[c]","s_0687[c],s_0689[c]","s_0991[c],s_0999[c]","s_1360[c],s_1399[c]"
"s_0435[w],s_0395[w]","s_3083[x],s_3215[x]","s_1208[w],s_1213[w]","s_0688[m],s_0690[m]","s_0992[e],s_1000[e]","s_1361[m],s_1401[m]"
"s_0437[m],s_0397[m]","s_0785[c],s_0739[c]","s_1210[m],s_1214[m]","s_0750[c],s_0754[c]","s_0993[m],s_3755[m]","s_4152[e],s_1400[e]"
"s_0438[n],s_0398[n]","s_0786[m],s_0741[m]","s_1211[p],s_1215[p]","s_0751[e],s_0755[e]","s_0994[n],s_1001[n]","s_1487[c],s_0306[c]"
"s_0439[p],s_0399[p]","s_0950[c],s_0846[c]","s_2800[x],s_2799[x]","s_0752[m],s_0756[m]","s_0996[v],s_1002[v]","s_1488[m],s_0307[m]"
"s_2831[x],s_3987[x]","s_1559[c],s_1538[c]","s_2953[a],s_2952[a]","s_0714[c],s_0717[c]","s_0180[c],s_0991[c]","s_0120[c],s_1487[c]"
"s_2856[q],s_3324[q]","s_0586[c],s_0582[c]","s_1198[c],s_1203[c]",,"s_0181[e],s_0992[e]","s_0121[m],s_1488[m]"
"s_3341[b],s_3342[b]","s_0590[[c],s_0587[c]","s_1199[w],s_1204[w]",,"s_0182[m],s_0993[m]","s_0319[c],s_1487[c]"
"s_3359[d],s_3360[d]","s_0617[c],s_0613[c]","s_1200[m],s_1205[m]",,"s_0183[n],s_0994[n]","s_0321[m],s_1488[m]"
"s_3881[v],s_3883[v]","s_0639[c],s_0618[c]","s_1201[n],s_3753[n]",,"s_0184[p],s_0995[p]","s_0304[c],s_1487[c]"
"s_4196[g],s_4198[g]","s_0656[[c],s_0652[c]","s_1202[p],s_1206[p]",,,"s_0305[m],s_1488[m]"
,"s_0650[c],s_0647[c]","s_2820[x],s_2818[x]",,,"s_0306[c],s_0625[c]"
,"s_0434[c],s_0423[c]",,,,"s_0307[m],s_0626[m]"
,"s_0437[m],s_0424[m]",,,,"s_0322[c],s_1487[c]"
,"s_0438[n],s_0425[n]",,,,"s_1416[c],s_1413[c]"
,"s_0439[p],s_0426[p]",,,,"s_1419[m],s_1415[m]"
,"s_2831[x],s_2833[x]",,,,"s_3182[x],s_3183[x]"
,"s_2840[a],s_2842[a]",,,,"s_3818[n],s_3820[n]"
,"s_2856[q],s_2859[q]",,,,"s_1416[c],s_1029[c]"
,"s_0539[c],s_0526[c]",,,,"s_1418[e],s_1030[e]"
,"s_0541[m],s_0528[m]",,,,"s_1419[m],s_1031[m]"
,"s_3083[x],s_3108[x]",,,,"s_0373[c],s_0362[c]"
,"s_3093[h],s_3219[h]",,,,"s_0376[m],s_0365[m]"
,"s_0785[c],s_0782[c]",,,,"s_0377[n],s_0366[n]"
,"s_0950[c],s_0849[c]",,,,"s_0955[c],s_1399[c]"
,"s_1559[c],s_1545[c]",,,,"s_0956[e],s_1400[e]"
,"s_1560[m],s_1547[m]",,,,"s_0957[m],s_1401[m]"
,"s_0586[c],s_0584[c]",,,,"s_1458[c],s_1460[m]"
,"s_0590[[c],s_0589[c]",,,,"s_0991[c],s_0995[p]"
,"s_0617[c],s_0615[c]",,,,"s_0991[c],s_0993[m]"
,"s_0656[[c],s_0654[c]",,,,
,"s_0650[c],s_0649[c]",,,,
,"s_0394[c],s_0423[c]",,,,
,"s_0397[m],s_0424[m]",,,,
,"s_0398[n],s_0425[n]",,,,
,"s_0399[p],s_0426[p]",,,,
,"s_3324[q],s_2859[q]",,,,
,"s_3987[x],s_2833[x]",,,,
,"s_0467[c],s_0526[c]",,,,
,"s_3215[x],s_3108[x]",,,,
,"s_0739[c],s_0782[c]",,,,
,"s_0740[g],s_0783[g]",,,,
,"s_0846[c],s_0849[c]",,,,
,"s_1538[c],s_1545[c]",,,,
,"s_1539[g],s_1546[g]",,,,
,"s_1540[n],s_1548[n]",,,,
,"s_3766[w],s_3781[w]",,,,
,"s_0582[c],s_0584[c]",,,,
,"s_0587[c],s_0589[c]",,,,
,"s_0613[c],s_0615[c]",,,,
,"s_0652[c],s_0654[c]",,,,
,"s_0653[n],s_0655[n]",,,,
,"s_0647[c],s_0649[c]",,,,
