no carbon metabolites,ions,excluded
s_0803[c],s_3880[c],s_0456[c]
s_0804[w],s_3882[v],s_0457[w]
s_0805[e],s_4197[g],s_0458[e]
s_0806[g],s_4199[e],s_0460[m]
s_0807[m],s_3777[v],s_0461[n]
s_0808[n],s_3778[c],s_0462[p]
s_0809[p],s_3926[g],s_2784[x]
s_0810[v],s_4200[e],s_3129[h]
s_2808[x],s_3782[c],s_3147[d]
s_2976[b],s_3783[e],s_3165[b]
s_2994[d],s_4019[c],s_0445[c]
s_3226[h],s_4020[g],s_0446[e]
s_3449[q],s_4201[e],s_0447[m]
s_3657[a],s_0924[c],s_0448[n]
s_0837[c],s_0925[e],s_1845[m]
s_0838[m],s_0926[m],
s_0839[n],s_3855[m],
s_0840[p],s_3936[e],
s_0419[c],s_4031[v],
s_0420[e],s_1373[c],
s_0421[m],s_1374[e],
s_1275[c],s_3776[v],
s_1276[w],s_4013[c],
s_1277[e],s_4014[m],
s_1278[m],s_4204[e],
s_1279[p],s_3801[c],
s_2817[x],s_3802[w],
s_1322[c],s_4202[e],
s_1323[w],s_3822[c],
s_1324[e],s_3823[w],
s_1325[g],s_4026[m],
s_1326[m],s_4027[v],
s_1329[v],s_4203[e],
s_2966[x],s_1469[c],
s_2977[b],s_1470[e],
s_2995[d],s_4011[w],
s_3228[h],s_1467[c],
s_3536[q],s_1468[e],
s_0633[c],s_4016[w],
s_0635[a],s_0793[q],
s_0636[m],s_0794[c],
s_0637[n],s_0795[w],
s_0638[p],s_0796[e],
s_2834[x],s_0797[g],
s_2860[q],s_0798[a],
s_3095[h],s_0799[m],
s_4157[e],s_0800[n],
s_4098[c],s_0801[p],
s_4099[e],s_0802[v],
s_3913[c],s_2783[x],
s_3935[c],s_3094[h],
s_3914[c],s_3146[d],
s_0841[c],s_3164[b],
s_3906[m],s_1437[c],
s_3813[m],s_1438[e],
s_3931[c],s_3775[v],
s_4010[m],,
s_4113[c],,
s_4159[e],,
s_4018[c],,
s_4112[c],,
s_4114[e],,
s_1371[c],,
